class,cap-diameter,stem-width,stem-height,weight
poisonous,8.77,17.75,17.61,106
edible,7.06,10.27,5.09,66
edible,10.96,21.48,4.77,5
edible,1.26,1.68,3.29,21
edible,11.49,19.55,10.54,20
poisonous,0.68,0.86,3.86,13
poisonous,1.14,1.65,2.93,185
poisonous,13.56,27.76,6.97,63
edible,7.88,16.18,5.83,123
edible,16.53,34.9,15.32,141
edible,6.13,5.22,5.59,144
poisonous,14.34,15.99,16.02,123
edible,2.7,3.43,6.06,45
poisonous,4.83,6.93,5.21,147
poisonous,2.78,6.32,5.61,70
edible,6.19,12.29,5.4,79
edible,10.21,19.21,4.79,15
edible,4.36,7.83,7.88,12
edible,6.48,12.48,4.32,187
poisonous,1.7,1.86,4.68,138
poisonous,7.43,13.38,4.52,185
edible,1.39,2.02,6.15,152
poisonous,6.77,10.89,6.9,171
edible,1.49,1.33,4.62,103
poisonous,5.55,11.2,4.87,76
edible,5.2,8.98,4.92,117
poisonous,3.88,5.19,3.33,111
edible,18.94,85.51,20.47,38
poisonous,2.59,15.78,3.24,61
edible,3.51,2.84,4.74,121
poisonous,5.35,4.94,5.95,124
poisonous,3.77,6.49,4.3,151
poisonous,12.1,24.75,12.59,75
poisonous,8.41,15.84,8.35,163
edible,9.7,12.61,18.84,44
edible,12.06,20.42,11.5,146
poisonous,6.87,15.19,5.3,107
poisonous,8.4,12.77,4.73,128
edible,1.38,2.58,5.28,127
poisonous,3.33,2.51,3.78,104
poisonous,2.88,6.89,3.83,169
edible,3.12,3.57,4.37,176
edible,8.44,24.92,8.18,141
poisonous,10.39,18.46,1.86,62
poisonous,3.9,6.15,10.78,152
poisonous,3.38,0.0,0.0,113
edible,9.27,19.35,7.15,125
poisonous,3.78,0.0,0.0,96
edible,4.12,5.06,6.75,54
poisonous,2.73,2.36,3.16,152
poisonous,0.63,0.99,4.64,109
edible,7.94,13.37,6.21,168
edible,5.93,12.44,4.7,121
poisonous,6.49,12.72,7.12,31
poisonous,4.5,7.16,6.9,36
poisonous,6.36,6.91,5.72,5
poisonous,4.09,4.45,6.45,21
edible,4.18,9.09,4.1,141
poisonous,4.19,9.21,5.52,88
edible,16.15,18.96,11.85,49
poisonous,6.66,9.8,4.08,70
poisonous,4.49,0.0,0.0,36
poisonous,0.72,2.09,2.07,49
poisonous,5.68,12.38,7.37,13
edible,14.61,16.98,9.82,34
edible,5.69,9.45,6.1,88
poisonous,8.06,14.25,7.85,170
poisonous,1.54,2.53,4.62,64
poisonous,3.59,0.0,0.0,5
poisonous,9.42,14.48,6.43,9
poisonous,2.29,2.66,4.58,67
poisonous,11.43,32.56,10.84,168
edible,4.22,4.91,4.98,69
edible,7.75,16.79,6.12,82
poisonous,4.61,12.11,3.8,156
poisonous,4.52,6.11,4.86,136
poisonous,10.83,30.95,10.47,118
poisonous,2.87,7.88,5.2,29
poisonous,1.55,2.51,2.3,139
edible,0.92,1.03,5.94,145
edible,7.36,15.64,8.55,47
poisonous,7.67,11.45,6.5,61
poisonous,9.39,15.83,8.26,168
poisonous,11.51,15.19,6.86,146
edible,1.18,1.49,5.82,76
edible,10.58,17.13,9.09,31
edible,5.38,3.58,5.61,132
edible,2.17,4.94,6.32,110
edible,10.7,16.44,2.59,169
poisonous,3.67,6.92,5.03,75
poisonous,2.45,2.15,7.31,157
edible,5.2,9.55,4.88,71
edible,8.19,9.19,6.77,94
edible,3.06,5.24,3.77,8
poisonous,0.97,1.36,2.87,110
edible,3.53,7.05,3.82,83
poisonous,2.33,3.38,6.88,100
edible,8.68,11.37,6.41,97
edible,4.57,10.14,4.93,78
edible,7.88,14.07,6.65,130
poisonous,5.44,8.04,7.28,20
edible,0.95,0.87,5.74,151
poisonous,9.97,25.01,12.73,161
edible,8.51,14.46,7.67,120
poisonous,3.03,6.72,3.65,183
poisonous,18.69,28.21,6.06,22
edible,8.39,14.12,8.09,190
edible,6.07,22.17,2.89,176
poisonous,3.26,3.48,4.53,20
poisonous,2.9,2.54,3.29,197
poisonous,7.26,17.24,5.88,134
edible,12.86,15.5,2.65,60
poisonous,7.78,9.1,6.27,83
edible,11.22,15.11,9.16,107
edible,5.67,7.43,4.32,32
edible,11.64,26.54,7.0,197
poisonous,7.55,17.61,15.54,9
edible,4.0,12.44,3.42,110
poisonous,21.54,34.35,6.62,26
poisonous,3.71,3.62,5.56,121
edible,7.15,11.36,7.85,104
edible,6.32,8.25,6.2,17
poisonous,12.89,26.42,5.24,69
edible,5.03,11.86,12.03,148
poisonous,0.67,1.0,4.1,90
edible,1.42,1.96,5.75,68
edible,15.0,20.15,24.46,36
edible,9.59,12.34,9.25,84
edible,6.89,12.48,6.62,55
poisonous,3.8,3.12,4.01,83
edible,4.64,11.99,6.36,190
poisonous,4.56,7.11,7.82,178
poisonous,6.17,12.8,5.88,184
poisonous,8.25,14.26,5.3,110
edible,3.17,2.99,7.26,67
edible,5.63,8.53,3.74,80
poisonous,8.62,10.76,10.04,64
edible,12.9,24.1,8.48,69
poisonous,3.41,5.97,5.75,121
edible,8.76,17.76,7.75,85
poisonous,2.53,3.42,3.34,109
poisonous,4.1,7.65,5.78,132
edible,1.51,1.52,4.92,187
poisonous,4.24,8.45,6.32,189
poisonous,6.56,10.89,6.03,75
edible,4.27,11.81,6.27,90
poisonous,1.82,2.38,5.26,158
edible,5.15,15.27,5.88,144
poisonous,4.78,12.11,8.32,75
edible,3.89,8.88,4.65,50
edible,5.48,10.73,4.27,51
poisonous,2.04,2.03,4.56,83
poisonous,4.63,8.87,6.69,170
edible,7.58,11.54,5.52,153
poisonous,2.89,2.48,3.87,146
poisonous,4.06,5.64,6.05,134
poisonous,6.28,10.33,5.6,131
poisonous,3.1,5.65,4.89,113
poisonous,2.53,5.6,2.82,123
edible,5.26,12.0,5.18,105
poisonous,6.33,7.85,8.06,165
edible,19.17,21.5,27.47,10
edible,8.45,12.28,4.84,130
poisonous,3.07,7.17,6.88,107
poisonous,4.95,16.48,5.54,41
poisonous,3.07,16.49,4.39,146
edible,7.76,13.42,6.69,41
poisonous,1.47,2.54,5.1,12
poisonous,22.69,43.55,5.24,81
poisonous,0.94,1.47,2.86,145
edible,3.86,5.52,3.31,44
edible,19.79,21.3,31.74,111
poisonous,12.45,17.48,6.13,96
edible,20.5,36.85,17.81,190
poisonous,9.2,9.63,16.83,22
edible,3.93,10.57,4.18,61
poisonous,6.29,8.69,7.58,87
edible,6.07,73.8,8.42,170
poisonous,8.73,17.28,11.43,36
edible,3.51,6.47,5.54,198
poisonous,2.68,4.01,4.65,29
poisonous,7.29,12.19,12.45,190
poisonous,1.56,1.55,4.42,37
poisonous,1.66,2.57,6.23,92
poisonous,16.26,36.19,6.85,198
edible,6.56,9.22,5.92,162
edible,15.41,17.38,10.63,108
edible,16.78,17.86,23.28,38
edible,4.37,5.82,4.27,106
edible,5.44,9.41,6.85,131
edible,6.1,12.66,12.81,73
edible,6.19,8.35,2.6,180
edible,5.38,17.94,4.3,44
poisonous,3.13,0.0,0.0,183
poisonous,6.28,12.88,9.32,84
poisonous,6.13,9.74,5.78,145
edible,5.97,21.52,5.97,35
edible,4.28,3.97,6.34,120
edible,13.73,17.45,2.78,171
poisonous,8.14,10.27,7.3,67
poisonous,3.08,3.24,5.09,52
poisonous,5.83,6.61,5.47,91
poisonous,3.18,16.33,4.42,52
edible,4.27,7.7,5.42,65
poisonous,3.47,3.91,7.37,144
poisonous,4.16,0.0,0.0,82
edible,5.91,8.89,3.46,188
edible,7.07,11.53,6.4,22
poisonous,2.25,2.48,6.56,159
edible,6.74,13.21,6.55,32
edible,4.71,13.24,6.76,84
poisonous,2.21,3.35,2.73,184
poisonous,6.14,6.6,3.54,20
edible,9.37,15.64,5.36,81
poisonous,0.81,1.16,5.39,190
edible,2.96,3.25,6.85,141
poisonous,6.04,7.48,6.45,30
poisonous,2.99,6.52,2.94,32
poisonous,3.45,4.95,4.05,109
edible,10.9,21.85,6.19,81
poisonous,4.72,7.11,9.37,168
poisonous,7.8,14.29,10.68,13
poisonous,10.25,16.41,11.32,179
edible,4.17,38.1,7.51,55
poisonous,6.14,13.51,7.2,80
edible,7.34,22.62,7.97,126
poisonous,7.37,15.43,8.08,189
poisonous,6.4,13.21,10.46,36
edible,3.94,7.46,6.35,199
edible,4.72,7.56,6.56,61
edible,9.62,21.09,13.19,58
edible,5.49,48.13,6.65,120
edible,8.21,9.93,5.93,148
edible,5.24,13.89,6.46,66
edible,10.98,35.25,9.21,88
edible,7.41,25.18,10.94,60
edible,5.04,4.15,5.97,27
edible,0.67,0.97,5.61,21
edible,8.25,12.63,4.4,170
edible,9.77,10.66,7.56,162
edible,6.51,21.15,5.92,190
edible,8.32,14.13,7.75,82
edible,4.11,6.71,5.81,26
edible,14.53,16.4,10.18,112
edible,6.01,10.19,6.04,21
edible,3.32,5.98,4.54,19
edible,6.83,15.07,6.15,118
edible,1.39,2.34,4.76,52
edible,6.26,15.44,4.88,164
edible,8.18,17.01,8.63,117
edible,12.11,21.79,8.6,172
edible,3.29,2.91,4.66,101
edible,6.88,14.15,6.99,189
edible,1.54,2.71,5.55,190
edible,5.21,4.31,6.75,95
edible,7.35,12.83,9.09,20
edible,5.77,18.39,2.79,160
edible,12.07,20.97,5.43,102
edible,8.4,16.59,5.38,115
edible,2.89,5.71,3.16,5
edible,5.82,20.0,4.65,45
edible,13.41,20.58,8.22,52
edible,11.4,20.6,6.28,163
edible,3.99,3.43,6.59,168
edible,6.0,6.9,6.13,112
edible,10.75,19.52,6.88,165
edible,3.43,7.81,7.81,165
edible,2.99,4.47,5.82,107
edible,8.74,31.27,7.62,132
edible,5.57,14.14,4.31,155
edible,20.01,21.21,7.14,192
edible,7.67,19.73,13.45,34
edible,5.95,12.82,4.96,49
edible,9.14,30.57,5.96,84
edible,2.83,3.06,7.06,43
edible,8.08,12.86,9.4,49
edible,16.4,22.42,6.79,82
edible,6.97,10.72,6.3,85
edible,7.08,13.31,5.52,144
edible,4.23,11.3,4.83,97
edible,7.42,15.61,4.51,36
edible,11.53,16.84,5.89,188
edible,6.94,15.29,6.73,28
edible,13.6,17.11,9.32,120
edible,6.21,20.1,6.33,17
edible,3.25,9.16,3.65,152
edible,7.83,17.87,5.81,83
edible,4.65,3.51,6.39,60
edible,7.9,24.82,11.39,57
edible,3.17,5.73,4.14,72
edible,5.46,12.62,6.82,186
edible,10.59,17.34,6.24,38
edible,15.68,25.66,8.62,32
edible,7.02,5.82,6.79,54
edible,1.47,1.81,5.79,134
edible,7.97,13.77,7.13,115
edible,10.93,22.44,5.47,98
edible,13.02,15.23,2.46,158
edible,7.33,15.47,5.73,183
edible,9.24,20.04,6.68,51
edible,9.18,10.39,7.01,30
edible,3.14,3.22,6.57,88
edible,1.46,2.06,6.65,110
edible,6.46,5.16,6.47,96
edible,1.35,2.63,5.01,124
edible,4.84,12.22,6.1,79
edible,3.25,4.41,6.64,126
edible,3.92,8.07,4.9,193
edible,16.33,21.28,25.98,155
edible,10.32,24.84,4.64,169
edible,1.38,2.43,5.04,45
edible,3.72,6.62,4.81,56
edible,6.43,14.57,13.43,86
edible,4.71,8.46,4.5,181
edible,3.14,5.98,2.73,159
edible,5.36,8.9,6.98,138
edible,5.66,12.64,4.78,78
edible,4.16,6.88,6.86,70
edible,7.98,13.05,7.1,28
edible,4.92,9.83,8.6,170
edible,10.98,17.48,6.09,32
edible,4.9,5.48,4.56,160
edible,3.98,7.45,7.75,121
edible,7.26,13.8,8.17,118
edible,7.65,10.2,3.41,198
edible,15.52,34.77,16.32,65
edible,20.26,22.96,6.81,178
edible,15.44,28.36,8.78,73
edible,4.78,4.17,6.18,118
edible,7.03,12.69,5.62,79
edible,6.54,19.13,6.65,175
edible,7.98,19.16,7.39,63
edible,2.42,5.18,6.82,134
edible,3.42,4.97,3.96,19
edible,6.1,12.37,6.56,109
edible,8.54,13.16,5.18,169
edible,8.35,25.79,8.11,152
edible,3.49,3.46,3.47,102
edible,11.12,15.27,8.87,39
edible,15.71,26.19,8.85,166
edible,22.33,17.61,23.97,35
edible,1.69,1.7,5.23,131
edible,8.76,16.06,8.58,23
edible,7.03,9.74,5.14,28
edible,11.75,16.8,5.99,88
edible,5.98,12.16,5.54,171
edible,3.21,5.6,8.7,96
edible,7.77,16.59,8.54,186
edible,2.77,2.26,5.86,171
edible,9.65,12.61,17.47,149
edible,5.0,4.15,5.64,151
edible,6.56,8.55,4.97,122
edible,53.27,43.24,8.01,180
edible,5.58,10.2,5.07,167
edible,5.27,8.75,5.0,164
edible,4.18,3.28,4.04,179
edible,18.25,23.51,7.31,51
edible,3.12,6.55,6.35,196
edible,5.17,9.57,4.48,178
edible,8.17,11.12,3.74,107
edible,8.99,12.82,6.99,125
edible,5.66,8.17,4.36,167
edible,15.1,20.22,5.83,98
edible,14.1,15.7,8.57,149
edible,6.31,12.27,4.55,46
edible,7.49,14.58,7.49,115
edible,4.59,9.23,7.87,33
edible,10.19,18.41,9.05,128
edible,6.53,13.73,6.98,21
edible,8.6,24.41,7.88,18
edible,4.15,4.23,6.86,156
edible,7.87,12.24,9.08,189
edible,6.05,10.66,7.91,54
edible,8.17,10.0,6.27,61
edible,5.03,6.8,5.86,193
edible,3.82,8.41,3.89,108
edible,8.88,22.65,4.4,43
edible,8.67,16.14,7.91,187
edible,4.74,3.94,6.75,100
edible,4.65,9.32,8.21,40
edible,18.13,19.43,23.12,118
edible,16.96,19.79,28.32,41
edible,2.63,6.06,3.68,18
edible,7.61,14.73,4.41,159
edible,8.42,11.31,8.39,127
edible,5.33,5.25,5.86,87
edible,3.94,10.64,5.5,163
edible,11.36,20.68,6.69,77
edible,5.41,4.45,6.34,106
edible,4.07,7.57,7.6,85
edible,6.21,16.4,7.06,87
edible,5.55,9.81,4.87,48
edible,2.82,8.92,4.26,72
edible,5.02,9.43,4.66,52
edible,12.74,22.22,10.09,61
edible,0.87,1.82,3.45,79
edible,7.93,8.19,3.24,26
edible,1.23,0.95,5.5,136
edible,10.1,35.18,8.81,50
edible,9.86,14.42,9.21,191
edible,5.68,7.13,4.3,166
edible,4.2,8.19,7.66,15
edible,9.65,24.26,5.83,35
edible,3.34,5.13,4.09,143
edible,12.78,22.22,8.76,124
edible,1.53,2.53,5.05,60
edible,10.61,13.6,27.36,42
edible,9.01,11.68,7.13,25
edible,7.37,12.47,8.92,114
edible,7.23,16.18,5.68,98
edible,4.04,6.86,6.0,142
edible,1.56,2.56,5.09,158
edible,8.06,14.69,8.26,140
edible,15.31,18.04,9.51,12
edible,9.49,17.35,5.43,192
edible,5.96,7.24,3.94,76
edible,10.86,18.06,10.52,123
edible,9.46,17.1,8.84,38
edible,43.47,17.66,4.28,148
edible,6.77,9.49,5.48,109
edible,8.65,18.77,12.27,145
edible,2.41,3.36,6.84,91
edible,10.09,25.64,7.73,154
edible,5.48,4.54,5.09,159
edible,7.62,12.71,5.16,68
edible,4.62,7.95,6.4,6
edible,8.3,12.53,6.3,113
edible,10.61,22.69,8.72,30
edible,52.4,43.44,7.59,87
edible,6.01,12.15,5.85,111
edible,3.95,7.03,7.36,73
edible,0.97,1.01,5.06,101
edible,3.74,6.44,5.71,34
edible,6.71,12.1,5.78,12
edible,11.48,30.26,8.85,42
edible,46.92,31.31,5.3,193
edible,7.14,12.78,5.99,85
edible,8.17,16.13,5.1,112
edible,2.46,2.81,6.4,69
edible,4.04,5.71,6.08,71
edible,4.52,4.08,6.64,178
edible,12.0,20.82,5.28,94
edible,2.04,4.96,7.31,99
edible,4.08,6.09,5.79,76
edible,10.34,19.55,5.05,47
edible,15.29,17.63,2.55,191
edible,9.19,13.59,9.03,50
edible,7.9,17.76,6.68,129
edible,5.6,10.08,8.36,167
edible,5.15,4.57,6.76,43
edible,11.27,24.61,7.9,55
edible,10.15,18.19,4.38,8
edible,9.64,13.14,6.26,125
edible,3.75,6.67,4.93,84
edible,15.16,25.21,8.33,81
edible,10.48,19.69,5.08,183
edible,5.95,12.81,6.09,137
edible,1.51,1.41,5.12,59
edible,5.27,4.27,6.79,24
edible,9.76,16.86,7.24,156
edible,6.37,16.63,7.51,168
edible,6.97,14.93,5.77,38
edible,17.8,34.59,13.55,126
edible,10.03,19.92,5.07,113
edible,7.55,15.89,9.26,130
edible,3.03,5.48,4.42,58
edible,4.22,10.81,5.12,166
edible,7.93,9.51,6.6,149
edible,5.33,11.74,2.99,137
edible,8.52,13.73,7.51,93
edible,6.89,13.56,5.39,150
edible,4.1,7.52,5.77,187
edible,5.52,6.17,6.64,57
edible,13.51,27.99,10.41,54
edible,3.1,6.4,6.72,76
edible,7.5,13.65,6.46,177
edible,7.74,29.8,5.88,145
edible,3.61,10.71,5.32,20
edible,15.43,27.79,10.01,17
edible,0.81,1.15,2.29,24
edible,1.38,2.15,4.58,70
edible,4.14,3.59,5.9,51
edible,10.97,21.58,8.04,151
edible,3.62,5.74,4.13,177
edible,3.66,2.79,4.79,169
edible,4.9,10.58,7.0,126
edible,6.16,21.39,5.96,58
edible,5.45,8.15,5.8,10
edible,5.34,7.53,4.42,18
edible,3.22,9.51,4.21,136
edible,1.44,1.64,5.44,90
edible,3.55,10.3,4.54,187
edible,3.0,6.13,4.29,166
edible,9.94,18.18,9.09,31
edible,10.17,17.52,7.93,11
edible,4.01,6.44,4.68,135
edible,8.11,22.06,5.94,179
edible,2.65,6.64,6.45,6
edible,8.8,13.39,9.79,84
edible,10.82,25.29,7.11,157
edible,6.62,10.07,4.83,64
edible,4.02,7.14,4.44,28
edible,1.35,2.01,6.32,19
edible,11.98,16.66,5.38,99
edible,4.4,52.93,8.13,146
edible,11.1,20.96,7.42,186
edible,44.93,14.35,4.41,138
edible,5.89,11.16,4.89,85
edible,8.61,12.9,6.78,22
edible,8.9,14.29,4.4,24
edible,3.97,3.74,6.28,119
edible,7.35,12.26,5.32,194
edible,1.14,1.03,5.72,44
edible,8.19,20.02,6.77,43
edible,7.82,14.74,4.81,184
edible,7.0,16.02,5.85,36
edible,5.13,5.74,5.97,128
edible,1.49,2.51,5.3,112
edible,4.14,4.84,5.41,31
edible,6.9,16.0,9.8,114
edible,3.79,7.18,6.02,184
edible,9.06,15.05,7.95,101
edible,9.31,26.3,7.24,195
edible,6.83,11.3,8.33,78
edible,0.77,0.99,5.4,195
edible,10.8,19.7,5.35,21
edible,49.03,27.69,5.53,53
edible,7.64,25.04,12.79,85
edible,8.25,15.8,7.41,120
edible,6.31,6.55,6.32,27
edible,12.26,23.67,7.92,102
edible,9.69,28.15,8.36,76
edible,12.63,22.85,7.19,145
edible,9.57,17.21,6.17,155
edible,9.12,28.67,6.29,61
edible,50.56,28.31,7.6,194
edible,8.7,13.25,4.81,186
edible,9.34,16.98,6.21,152
edible,4.47,3.39,4.52,90
edible,11.15,24.53,5.37,184
edible,14.41,16.08,9.39,27
edible,6.6,4.93,6.0,109
edible,16.45,22.81,7.78,167
edible,3.53,5.88,5.87,71
edible,10.75,23.72,7.99,38
edible,11.89,24.73,9.62,37
edible,6.35,12.7,5.77,50
edible,7.81,13.79,7.34,85
edible,6.54,16.84,6.84,177
edible,3.11,5.45,2.86,151
edible,16.31,19.08,23.1,91
edible,5.38,12.75,6.17,19
edible,9.39,18.13,7.04,127
edible,9.29,17.81,5.19,125
edible,6.15,21.49,5.25,82
edible,11.82,26.44,7.8,70
edible,3.21,5.72,5.31,43
edible,6.74,10.28,5.34,22
edible,8.39,18.68,6.2,191
edible,10.26,16.69,4.95,164
edible,5.82,11.99,5.0,25
edible,11.08,18.38,4.65,172
edible,14.27,16.37,8.94,31
edible,11.67,23.53,5.17,6
edible,6.17,13.72,7.96,101
edible,7.61,14.79,9.48,43
edible,5.44,5.16,5.24,60
edible,7.06,9.94,4.61,111
edible,8.01,12.75,5.24,131
edible,3.74,5.26,6.74,17
edible,4.05,3.65,4.78,130
edible,1.17,0.97,5.23,188
edible,3.32,2.85,5.09,198
edible,1.1,1.33,2.78,60
edible,9.8,26.56,7.5,32
edible,4.78,18.31,4.84,68
edible,10.26,18.1,8.83,75
edible,13.16,21.42,8.02,196
edible,25.83,77.78,17.74,188
edible,7.48,10.41,6.85,173
edible,17.49,35.3,15.99,123
edible,9.34,16.52,8.53,104
edible,11.31,24.24,8.46,45
edible,13.72,16.75,9.79,8
edible,8.16,15.61,8.13,189
edible,12.88,17.68,10.79,162
edible,2.39,3.48,7.65,92
edible,3.55,10.9,5.33,88
edible,5.89,4.86,6.66,50
edible,2.89,6.69,4.67,188
edible,10.96,23.75,5.96,163
edible,18.39,24.09,7.45,92
edible,5.16,12.67,5.54,11
edible,5.06,9.82,5.43,81
edible,6.75,5.32,5.57,186
edible,7.64,13.17,7.12,140
edible,9.0,18.75,6.25,187
edible,2.65,2.59,3.74,176
edible,3.62,6.31,3.96,145
edible,18.65,20.88,27.18,97
edible,6.84,8.76,5.23,24
edible,4.13,7.01,6.28,82
edible,0.96,1.17,2.26,164
edible,1.03,1.06,6.3,192
edible,6.5,22.31,6.36,182
edible,1.29,1.21,6.47,31
edible,8.3,17.31,5.05,124
edible,6.34,6.44,6.72,29
edible,0.74,1.48,2.88,56
edible,9.96,16.52,6.44,25
edible,2.78,2.35,5.32,22
edible,4.51,8.47,4.94,43
edible,6.17,12.6,4.93,19
edible,3.89,7.23,6.07,57
edible,8.98,15.95,7.89,42
edible,5.69,14.56,7.84,180
edible,4.91,11.46,4.66,56
edible,1.59,1.75,5.39,76
edible,4.07,7.23,6.15,32
edible,20.04,19.39,28.06,148
edible,3.8,10.56,5.18,122
edible,5.38,11.73,5.85,148
edible,2.0,4.3,6.08,39
edible,10.97,23.6,9.65,149
edible,6.94,14.55,5.96,103
edible,3.56,6.34,5.07,56
edible,7.16,25.97,12.37,144
edible,5.0,12.49,5.71,87
edible,11.05,25.7,6.67,52
edible,8.16,13.29,9.09,26
edible,7.74,25.05,11.17,127
edible,10.22,17.91,9.39,131
edible,6.37,15.95,6.87,181
edible,8.13,16.39,7.32,56
edible,5.57,5.61,5.44,83
edible,8.48,18.13,11.64,133
edible,7.21,16.79,6.98,70
edible,6.53,14.33,7.35,68
edible,6.01,11.2,5.17,12
edible,7.2,13.45,5.93,29
edible,4.06,6.73,5.79,198
edible,6.66,9.48,3.44,98
edible,7.27,24.22,5.01,183
edible,4.36,6.9,4.62,185
edible,1.45,2.4,5.07,19
edible,13.43,14.51,2.45,182
edible,13.25,20.79,9.0,126
edible,12.18,24.01,5.73,79
edible,7.03,11.24,5.34,108
edible,6.38,15.13,5.76,42
edible,4.74,6.83,3.82,172
edible,8.21,21.93,7.2,198
edible,4.1,7.46,6.65,119
edible,6.05,10.7,7.67,43
edible,0.76,0.96,5.17,112
edible,14.87,26.44,9.58,21
edible,8.8,19.37,6.62,139
edible,4.68,6.82,5.65,122
edible,6.27,15.85,6.48,43
edible,3.15,2.71,4.12,39
edible,8.83,18.82,4.77,55
edible,3.11,6.47,4.49,51
edible,3.78,3.0,4.46,40
edible,10.57,17.62,11.09,68
edible,8.42,13.32,5.48,99
edible,4.37,42.09,6.95,109
edible,10.43,19.08,7.39,17
edible,1.21,1.29,3.01,150
edible,0.81,0.81,4.65,153
edible,3.04,4.6,2.93,116
edible,9.2,21.39,6.69,69
edible,7.37,10.99,5.03,12
edible,0.9,1.55,2.97,52
edible,5.25,21.12,5.1,89
edible,6.24,8.87,4.59,47
edible,9.15,13.57,7.54,185
edible,8.74,24.73,8.01,89
edible,4.58,5.34,5.08,159
edible,1.42,1.41,4.67,23
edible,16.15,23.68,7.08,27
edible,7.64,18.06,7.12,119
edible,9.58,16.99,8.14,54
edible,14.67,17.44,9.84,183
edible,6.02,10.97,3.84,47
edible,2.73,3.87,7.68,103
edible,8.8,16.3,8.48,108
edible,10.6,24.36,5.38,120
edible,4.71,3.93,6.11,55
edible,7.62,13.0,4.64,110
edible,1.49,2.4,4.67,116
edible,8.26,27.09,11.49,173
edible,12.51,21.53,7.65,76
edible,7.62,21.13,5.31,143
edible,1.78,2.76,5.75,84
edible,1.38,2.45,5.0,184
edible,5.69,9.13,4.55,155
edible,17.02,17.57,23.12,53
edible,5.55,14.4,5.49,170
edible,3.71,2.73,4.12,51
edible,12.28,13.76,19.84,76
edible,7.04,22.91,6.35,11
edible,3.16,3.18,4.88,70
edible,17.94,25.64,6.92,81
edible,5.96,11.34,6.36,66
edible,2.95,4.67,5.77,161
edible,4.46,3.82,6.37,42
edible,10.59,13.55,7.55,129
edible,6.04,8.91,5.25,88
edible,11.26,18.62,6.6,165
edible,19.56,19.83,23.55,33
edible,5.68,12.7,6.14,118
edible,5.64,9.89,4.89,83
edible,6.94,12.36,8.87,27
edible,6.94,7.99,3.29,110
edible,6.08,12.77,4.7,135
edible,10.99,19.59,7.4,105
edible,9.76,38.74,8.41,177
edible,5.94,12.88,13.04,12
edible,7.22,9.99,6.57,90
edible,8.73,13.35,5.1,121
edible,3.56,4.08,3.21,33
edible,8.59,15.91,9.35,6
edible,9.93,42.08,10.23,117
edible,6.54,9.43,3.7,182
edible,6.59,12.78,5.89,69
edible,12.22,19.52,7.33,112
edible,7.26,12.3,6.39,24
edible,7.86,12.49,5.01,184
edible,6.33,12.81,11.61,41
edible,12.56,19.44,12.19,76
edible,4.42,5.32,4.71,31
edible,8.75,31.44,8.26,179
edible,1.93,3.3,6.34,127
edible,6.35,14.65,7.48,138
edible,3.75,6.63,4.63,192
edible,11.99,19.84,5.03,49
edible,4.12,5.47,6.15,176
edible,4.26,8.22,2.84,87
edible,3.17,4.71,6.83,150
edible,6.92,23.32,11.16,124
edible,4.9,12.01,5.47,69
edible,9.24,16.98,5.12,29
edible,9.52,22.41,7.92,31
edible,9.27,15.92,8.45,139
edible,3.62,8.93,3.54,176
edible,3.59,5.47,4.51,110
edible,4.43,7.27,6.21,161
edible,10.38,26.73,7.37,48
edible,13.03,24.44,5.17,111
edible,8.3,16.39,8.0,40
edible,11.52,13.08,8.05,151
edible,8.27,14.76,8.87,10
edible,3.63,7.05,7.51,157
edible,11.99,14.78,8.51,163
edible,4.7,10.08,4.71,13
edible,12.69,22.86,7.1,169
edible,6.8,13.18,6.46,159
edible,9.44,12.55,15.88,17
edible,11.38,15.18,7.68,45
edible,3.8,5.36,3.95,132
edible,1.83,4.42,6.3,70
edible,6.71,7.81,3.45,89
edible,7.59,11.6,4.84,28
edible,2.04,2.86,4.52,48
edible,3.59,6.41,3.81,110
edible,5.88,4.03,5.47,102
edible,3.95,6.07,5.2,64
edible,3.3,4.99,7.04,13
edible,4.29,11.76,5.07,134
edible,9.13,19.23,5.21,60
edible,13.5,25.74,9.4,162
edible,1.5,2.81,3.59,26
edible,16.0,26.08,9.66,85
edible,10.36,17.53,8.04,104
edible,11.41,15.61,2.52,17
edible,6.37,9.56,5.61,75
edible,5.03,11.02,11.18,20
edible,10.78,22.01,4.92,49
edible,4.17,7.55,6.33,69
edible,8.22,12.26,6.22,143
edible,4.8,8.52,4.72,74
edible,7.26,11.38,5.48,152
edible,1.98,2.86,4.93,103
edible,0.98,1.12,4.02,195
edible,9.75,17.93,9.21,105
edible,5.64,5.24,7.0,109
edible,3.49,8.74,7.08,144
edible,5.74,8.12,4.05,194
edible,4.22,6.95,6.64,98
edible,7.5,24.72,10.68,46
edible,1.62,2.48,5.09,87
edible,18.71,25.02,7.8,190
edible,1.54,2.53,4.96,137
edible,11.34,25.09,6.8,109
edible,4.25,9.87,3.25,159
edible,4.0,10.14,4.95,32
edible,5.68,11.25,10.87,30
edible,2.35,4.6,6.08,120
edible,13.15,17.69,6.34,53
edible,22.56,59.29,16.4,153
edible,9.39,19.97,4.57,5
edible,4.98,9.71,8.27,96
edible,6.48,13.28,5.67,62
edible,6.96,15.63,7.89,83
edible,8.15,18.02,10.81,187
edible,12.97,14.83,2.63,85
edible,10.3,53.29,14.35,30
